DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	58	0	0	256.54	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	58	0	0	256.54 	0	0
UL	0.00528571	0	5	1	1	1	1	1	0	58	0	0	256.54 	0	0
UL	0.00553571	0	5	2	1	1	1	1	0	58	0	0	256.54 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2104	28	0	256.54	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	58	0	0	256.54	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	58	0	0	256.54 	0	0
UL	0.0352857	3	5	1	1	1	1	1	0	58	0	0	256.54 	0	0
UL	0.0355357	3	5	2	1	1	1	1	0	58	0	0	256.54 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	2104	28	0	256.54	0	0
UL	0.101232	10	1	0	1	12	1	1	0	730	0	0	256.54 	0	0
UL	0.101482	10	1	1	1	12	1	1	0	730	0	0	256.54 	0	0
UL	0.101732	10	1	2	1	12	1	1	0	730	0	0	256.54 	0	0
UL	0.101857	10	1	3	1	5	1	1	0	10511	28	0	256.54 	0	0
UL	0.102107	10	2	0	1	5	1	1	0	10511	28	0	256.54 	0	0
UL	0.102357	10	2	1	1	5	1	1	0	10511	28	0	256.54 	0	0
UL	0.102554	10	2	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.102804	10	2	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.103054	10	3	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.103304	10	3	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.103554	10	3	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.103804	10	3	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.104054	10	4	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.104304	10	4	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.104554	10	4	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.104804	10	4	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.105054	10	5	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.105304	10	5	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.105554	10	5	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.105804	10	5	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.106054	10	6	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.106304	10	6	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.106554	10	6	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.106804	10	6	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.107054	10	7	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.107304	10	7	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.107554	10	7	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.107804	10	7	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.108054	10	8	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.108304	10	8	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.108554	10	8	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.108804	10	8	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.109054	10	9	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.109304	10	9	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.109554	10	9	2	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.109804	10	9	3	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.110054	11	0	0	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.110304	11	0	1	1	2	1	1	0	4205	28	0	256.54 	0	0
UL	0.110554	11	0	2	1	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.110946	11	0	3	1	10	1	1	0	608	0	0	256.54	0	0
UL	0.110982	11	0	3	11	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.111196	11	1	0	1	10	1	1	0	608	0	0	256.54	0	0
UL	0.111232	11	1	0	11	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.111446	11	1	1	1	10	1	1	0	608	0	0	256.54	0	0
UL	0.111482	11	1	1	11	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.111589	11	1	2	1	4	1	1	0	8410	28	0	256.54	0	0
UL	0.111625	11	1	2	5	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.111804	11	1	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.111821	11	1	3	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.112054	11	2	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.112089	11	2	0	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.112304	11	2	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.112321	11	2	1	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.112554	11	2	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.112571	11	2	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.112804	11	2	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.112821	11	2	3	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.113054	11	3	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.113089	11	3	0	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.113304	11	3	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.113339	11	3	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.113554	11	3	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.113571	11	3	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.113804	11	3	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.114054	11	4	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.114071	11	4	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.114304	11	4	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.114339	11	4	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.114554	11	4	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.114607	11	4	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.114804	11	4	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.114839	11	4	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.115054	11	5	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.115071	11	5	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.115304	11	5	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.115554	11	5	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.115571	11	5	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.115804	11	5	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.115839	11	5	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.116054	11	6	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.116107	11	6	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.116304	11	6	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.116339	11	6	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.116554	11	6	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.116571	11	6	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.116804	11	6	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.117054	11	7	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.117071	11	7	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.117304	11	7	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.117339	11	7	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.117554	11	7	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.117607	11	7	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.117804	11	7	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.117839	11	7	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.118054	11	8	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.118071	11	8	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.118304	11	8	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.118554	11	8	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.118571	11	8	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.118804	11	8	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.118839	11	8	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.119054	11	9	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.119107	11	9	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.119304	11	9	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.119339	11	9	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.119554	11	9	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.119571	11	9	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.119804	11	9	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.120054	12	0	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.120071	12	0	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.120304	12	0	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.120339	12	0	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.120554	12	0	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.120607	12	0	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.120804	12	0	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.120839	12	0	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.121054	12	1	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.121071	12	1	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.121304	12	1	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.121554	12	1	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.121571	12	1	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.121804	12	1	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.121839	12	1	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.122054	12	2	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.122107	12	2	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.122304	12	2	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.122339	12	2	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.122554	12	2	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.122571	12	2	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.122804	12	2	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.123054	12	3	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.123071	12	3	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.123304	12	3	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.123339	12	3	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.123554	12	3	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.123607	12	3	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.123804	12	3	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.123839	12	3	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.124054	12	4	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.124071	12	4	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.124304	12	4	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.124554	12	4	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.124571	12	4	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.124804	12	4	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.124839	12	4	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.125054	12	5	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.125107	12	5	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.125304	12	5	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.125339	12	5	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.125554	12	5	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.125571	12	5	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.125804	12	5	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.126054	12	6	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126071	12	6	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.126304	12	6	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126339	12	6	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.126554	12	6	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126607	12	6	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.126804	12	6	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126839	12	6	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.127054	12	7	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.127071	12	7	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.127304	12	7	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.127554	12	7	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.127571	12	7	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.127804	12	7	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.127839	12	7	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.128054	12	8	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.128107	12	8	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.128304	12	8	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.128339	12	8	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.128554	12	8	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.128571	12	8	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.128804	12	8	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.129054	12	9	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.129071	12	9	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.129304	12	9	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.129339	12	9	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.129554	12	9	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.129607	12	9	2	3	3	1	1	0	6306	28	0	256.54 	0	0
